,Unnamed: 0,Unnamed: 0.1,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,EGFR_Nuc,STAT3_Nuc,p-PKM2_Nuc,HCN4_Nuc,LC3_Nuc,B-actin_Nuc,PDGFRa_Nuc,Flt1_Nuc,Mlc2a_Nuc,B-catenin_Nuc,HIF1a_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,EGFR_Cyto,STAT3_Cyto,p-PKM2_Cyto,HCN4_Cyto,LC3_Cyto,B-actin_Cyto,PDGFRa_Cyto,Flt1_Cyto,Mlc2a_Cyto,B-catenin_Cyto,HIF1a_Cyto,Dose,Drug
456,6238,6238,13.179878672232096,13.009486565803769,12.864144062736257,13.174930610742088,10.421787785111787,10.2900906194514,12.378304098427,13.678444531670205,9.971413869704412,11.156621954782702,9.141558254878477,11.978916293374915,9.22861125703942,11.243938988506567,9.83737262118198,11.691038613269539,12.097143928344128,12.445372512963129,12.281284876585607,12.349409622054665,9.901870381571936,9.409790748148717,11.648473773200054,12.948549084651294,8.930841857753894,10.775732090566269,6.982807846210129,11.327989650677805,9.936502838788282,11.067033066643775,11.483086467555802,11.986335964509996,3,11
457,6239,6239,13.253796879658124,13.168027288684433,12.990303030579211,13.257598167160713,10.538842862225023,11.836710314000525,13.872674880270605,12.957080234360928,10.455665006385457,13.872674880270605,10.923118015681105,12.067620793994188,9.95257609327752,13.366409360254519,13.872674880270605,13.439195683122426,11.569726693769866,11.72315676513735,11.414850838867887,11.528259636561494,10.875328516561027,11.781179126575266,13.682140282833169,12.67827525608532,10.524613905666195,13.812830269908,9.491504701549259,11.336235492367164,10.50583797585441,13.110291122901973,13.872674880270605,13.872674880270608,3,11
458,6240,6240,13.61166452357172,13.36314937146085,13.282789857436445,13.454205336255255,13.872674880270605,13.508527617187069,12.262918350358872,11.63011930694759,13.678836219436285,13.037413820526204,12.773023561947406,12.484134954181595,13.872674880270605,11.076108700159113,10.862961977877042,12.097319117872686,11.726491272478285,11.847321723492186,11.622012180307006,11.691088099051845,13.01194881936236,13.057875266933596,12.702831366491528,11.094382766165765,12.938335970209195,12.449303282224465,12.243454857249192,11.025175046998763,13.872674880270605,10.073672746984883,11.221152074172156,11.458976197671365,3,11
459,6241,6241,13.03998379030118,12.785435724942234,12.616608981991305,12.9772917233517,10.0892905962903,9.597508212768266,12.379075881116409,12.75919546898271,9.685217554870233,9.786907159801308,8.808312808526892,10.326680480655423,10.479146476490227,11.313017041506727,11.971535077501953,11.606172597082784,11.506506959009155,11.511644329646533,11.488730278877172,11.538920596913545,9.722022171150764,8.582251369132145,11.788002514907987,11.435866118272164,8.944535889451545,7.807781956614693,6.946440763025595,8.940769025348816,10.769577853313287,10.897052873361313,12.49597535184892,12.012866225063926,3,11
460,6242,6242,13.022250880390644,12.83605053116502,12.667943360819482,12.978370080760989,9.912027394515126,10.263413598567931,12.073707970014892,12.595184119073696,9.576283216259203,10.763624232202561,9.141254659124042,11.997967650009446,8.916506950329731,10.613953402180641,10.120950359181313,10.35453289910199,12.347233687807435,12.543816660857456,12.274995181525615,11.69343317337698,10.875903264289525,12.6946558732443,11.925235259730012,10.864536626506188,12.025131353107462,13.159929867853782,9.602827102953633,11.699758235483355,11.31275248666224,11.101188025543443,11.289727403955714,11.694863471667116,3,11
461,6243,6243,13.111459022621979,12.987295869298961,12.867278426585028,13.115920818729231,9.720747933887754,10.055605133226504,12.438441954428074,13.41661777909885,9.301596544130232,10.146880023377769,8.980020451687633,10.090924931599124,7.484817558698621,8.498187922184348,9.891296721034765,8.660749785373408,12.801698076096208,13.043921001264426,12.945050995938434,12.88117107025633,9.71583756342462,10.833434525874264,12.800515628951498,13.572083156501474,9.521570491311174,11.264257328854633,8.255172922860568,10.278417906836342,8.177558475996063,9.776270125357428,10.84084401780157,11.135578052441163,3,11
462,6244,6244,12.990259232365597,12.857097516009489,12.719813886254865,13.014076020939527,10.078596673251793,9.666197077299033,11.739971525162414,13.509601032321894,9.652831854721056,10.867234230012887,8.968497997674687,11.550839724715454,8.923800399826497,10.879738119800649,10.223949689338447,10.777342257141266,12.478931502769631,12.717055161418513,12.647934801851028,12.59177875393542,10.006139021682838,9.399657311829248,11.00997920586626,13.029464196832581,9.432040747528744,11.161855886901511,7.277594182276244,11.602401358653088,9.683615856042,10.828410280290218,11.609967978786008,11.680035553403965,3,11
463,6245,6245,12.956996045231776,12.867237617791698,12.678511415268893,12.954531376014819,9.899041706539622,9.260155300127089,11.80335785541268,11.89208201101632,8.962245004990082,9.824148162468127,8.36078627934528,10.133681170190108,8.233184450587519,10.870124457742872,10.139054435285994,11.15617343572597,10.83509493353703,11.428501338363132,11.285080090305414,11.14398955309622,9.78483669794634,8.076719787089539,10.223785913636695,10.123536154080623,8.628923911237004,7.9868408377369535,6.086070799570567,9.87422693724675,8.687124701056046,11.678413508791035,11.619456198018213,12.922869518353096,3,11
464,6246,6246,12.915629320279931,12.75153954990819,12.58963248952554,12.925634377053404,10.090344875320962,10.267847972986727,12.278773068766336,13.063856748552823,9.787042582551633,11.109980745913763,9.302467971709783,10.984692462281398,10.185779523137887,11.58583151203251,10.846719453588634,11.5260006421624,11.588261780848908,11.883824843745767,11.822351792645707,11.77311365026097,9.837947487086028,9.988212857393462,11.969738914572856,12.210466456919525,9.06653409550282,11.132891336893563,7.7327845972207365,10.133680024387797,10.433941406317023,11.298600340915055,11.894590080531067,11.998417374288481,3,11
465,6247,6247,12.772960628149749,12.635884813346806,12.419500095190315,12.800009105805216,9.590326316219887,9.633060902463603,11.890438241911971,13.471592985680331,8.90716096071864,10.945622932122635,8.593495137744721,9.98816874292932,7.096944747917997,10.912916274789023,10.137117677679095,11.294550183683588,12.288352517826073,12.452115430713679,12.440241521742704,12.329367833040411,9.544477170618167,9.177587942022832,11.444905470468099,13.11739727819868,7.957016644974147,10.92077307983413,6.6402631502730545,9.393451971789807,7.542656086101233,10.768636420202302,10.561668557262424,11.758744975965962,3,11
