,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,EGFR_Nuc,STAT3_Nuc,p-PKM2_Nuc,HCN4_Nuc,LC3_Nuc,B-actin_Nuc,PDGFRa_Nuc,Flt1_Nuc,Mlc2a_Nuc,B-catenin_Nuc,HIF1a_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,EGFR_Cyto,STAT3_Cyto,p-PKM2_Cyto,HCN4_Cyto,LC3_Cyto,B-actin_Cyto,PDGFRa_Cyto,Flt1_Cyto,Mlc2a_Cyto,B-catenin_Cyto,HIF1a_Cyto,Dose,Drug
6662,6662,12.174464603309527,11.466718627240024,12.224035347636724,12.124651174592929,8.61526117948028,9.941405104209505,12.54443085359539,12.557534920208713,8.417466593805491,11.269491284822,9.7921451780459,11.547905751247637,10.059845798998252,11.90270927406867,11.87345800842406,11.910734005077256,9.538955666692528,9.901412837025195,11.900450789309197,11.012167284818627,8.561439119595503,9.934848503482225,12.040932505852265,11.098377862589082,7.294190437378175,11.76604860152004,11.119469000825028,11.374889269713847,10.123909156380847,12.668884946172152,12.514325894781797,12.707277821651376,10.0,3
6663,6663,12.120833033797364,11.353344661076752,11.949144474592247,12.02681795693666,9.06192073401748,10.846488677145805,13.137282919998086,12.165052091061337,8.444660874234266,11.425869432937644,10.41714716466022,10.25652171541796,9.044863093871752,11.229702252105737,11.04549310763569,10.846738183139836,11.307227235868945,10.96356483971242,12.711124234808304,12.165318245618426,9.854483507410654,11.591770418621804,13.265864726926837,12.197467663292947,9.158485664469397,12.242905222384556,11.06754417510072,9.994875786277387,9.388216511440113,11.880993781753032,11.398277513087015,12.022457028291194,10.0,3
6664,6664,12.47131639966948,11.616618389514127,12.292222474509197,12.306414689744669,9.547963254379473,10.80335239353935,13.44662893590153,13.185342078877685,9.180667859808283,11.759160234861056,10.665280474033318,11.746461573316632,10.432121294073971,12.107998961749498,12.787131862014835,11.988313490186703,10.57771382913818,10.398110157559367,12.210657704821319,11.543787622498591,9.669868247904283,11.35560989986164,13.098231503193428,13.112489397429886,9.343711746783919,12.21145538340601,12.139920877140556,12.018027180122898,10.356529680452496,12.214078377318517,12.53674975705436,12.537105626466253,10.0,3
6665,6665,12.0578586184164,11.330893832071304,11.958325579377306,12.018206621765179,8.968748572780845,10.931618640488598,12.648325920127512,12.244272080850248,9.360570899733505,11.572025465835937,10.489669322363117,12.118376047753445,9.847641294244383,10.993947176395876,11.095580224126778,11.391989580794895,9.479853026222582,9.76130368652779,11.629099082612894,10.835785792352317,8.65795360590225,9.83834012029077,11.489517119714039,11.09979647296647,8.240143485151503,11.10143907060875,10.33144539843862,10.56201887397684,7.882046910963769,11.705343727205324,11.954313372402346,12.455332879902732,10.0,3
6666,6666,12.302664418221786,11.682681420396051,12.685502021727881,12.531161225271006,9.928984316922287,11.733101321572988,13.763662287701056,12.921906995736913,9.925502377344197,12.257646624803055,11.632383663737896,11.517457281755213,10.557566275494107,12.244111545839267,12.278097809462132,12.649346703441902,12.057542527119196,11.573406919471168,13.762456827173546,13.01382274796844,10.118256983108813,12.473135677988815,13.5315184622428,12.81689071483138,10.104913298558412,12.835403315441773,11.899100646502204,11.344289533061232,10.888333525234003,12.610051880984473,12.137649014913261,12.909224262079006,10.0,3
6668,6668,12.144551976008248,11.652923507185829,12.151357636222851,12.002156851854252,8.276145315408067,9.904335861072175,11.778570375429954,12.879865753206305,7.6994799092829345,11.021154202804393,9.755456247538456,9.8649678775852,8.201512573119551,10.134762504076537,8.877080537606098,9.680803566482622,9.818763103784894,10.124475984905557,11.843533937903462,11.038692707880069,8.963766429281057,9.906577391701727,10.804944386091032,11.639122628245683,6.7548158468581425,11.136366449089026,10.251588091126743,8.771827324830326,8.513469322102091,11.484073139748256,11.437178164910069,11.621547842727326,10.0,3
6669,6669,12.532425605254176,12.395082866787346,12.817600234807689,12.636546470689275,12.164682966234038,13.756198738418135,13.156482564822381,11.814064200784072,12.044281280737602,13.853723126409967,12.808210434516154,12.319854902199493,12.730611480105571,13.216447605670819,13.664760596793228,13.872674880270605,11.868502622304078,11.408665559882325,13.069027174562256,12.336270338602107,11.195066926086511,12.662326099840898,12.970446039341944,11.677319526096008,11.306609840252685,12.777810536247378,11.718809148086612,11.081972038900744,12.014085364116204,13.050510960059512,12.761152517216676,13.351674647103755,10.0,3
6670,6670,13.267374108689266,12.804782606156644,13.429688257564713,13.284919135510313,8.867640559207189,10.808677408663216,11.66307318479832,11.373248006318313,8.925782851097463,11.484230734345346,10.571582000007774,11.310942470618258,9.692621295123699,11.00499318232486,12.309581734066427,10.918657458365944,10.70860783746161,10.876112795040937,12.567317949173269,11.972313356641752,9.268171435635411,11.59719984735213,12.195317553444672,11.843610504562964,8.989289989344378,12.105405793801312,11.263055757000403,11.201501222175573,8.794307949937089,11.656479254287436,11.936392005359952,11.758641543211244,10.0,3
6671,6671,9.406726821215939,13.872674880270605,9.394389879042887,9.296347235338937,7.752676886380511,12.313480298068367,9.12295124601901,10.077756672399499,7.580739265531819,12.738404136847578,8.969947875393935,9.520528580547358,8.469148723809328,12.158374483426426,10.841683074269062,10.918588855887284,8.098913688181984,13.872674880270605,11.874041650422125,10.911256462672316,10.357770597558343,13.742966113737106,11.617534042311943,11.107271105000114,8.742127911435539,13.872674880270605,10.416232011792758,8.832555681202471,10.111608634276395,12.581906882118638,12.430260766269912,11.531908334601185,10.0,3
6672,6672,12.857335338527827,12.187378294592369,12.826473921278478,12.905905110286007,7.698297582552817,9.186141504779467,12.152942737565034,12.702006349848665,6.800498506367968,10.98233155657546,9.284114660640359,10.023284299464002,8.897279445971074,10.32771440744478,10.088996483363447,10.202299767412176,8.392437214440347,9.274675682403457,10.880984108290713,10.271105474205044,11.015856998903693,10.839354550146098,10.940728969951394,10.262442044358755,10.501350658872283,11.27919107291945,9.712397823315534,9.117126356168876,10.656319145756166,11.303267122752054,10.978840688532825,11.525396668757992,10.0,3
