,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,p53_Nuc,c-Jun_Nuc,Bax_Nuc,p-MEK_Nuc,pRb_Nuc,c-Myc_Nuc,B-tubulin_Nuc,CNX43_Nuc,p21_Nuc,p27_Nuc,Bcl2_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,p53_Cyto,c-Jun_Cyto,Bax_Cyto,p-MEK_Cyto,pRb_Cyto,c-Myc_Cyto,B-tubulin_Cyto,CNX43_Cyto,p21_Cyto,p27_Cyto,Bcl2_Cyto,Dose,Drug
0,0,12.44985179105264,12.207205802756775,12.315482445018684,12.026767040553874,10.977388391698694,10.812720602374648,11.348358968258074,11.528338682674944,10.23490852555733,9.058163082276712,11.390181268629387,11.810193360544435,10.776269169114068,12.443124472576356,12.626032330105044,11.073081156885458,9.705083258367887,10.981578306267052,10.99542503361874,10.776642195022156,10.967033331799383,11.011856104811363,11.173838348978634,11.179177531330922,10.733362653562352,11.349012242023587,11.437493712654975,11.986593241867931,10.35093246992432,11.009996461361025,11.231873833358797,11.755311113069208,3.0,2
1,1,12.202988588291163,11.940782814616213,12.03871123605428,11.919819131708696,10.387205661024183,10.830035187676817,11.066197881098311,11.58664766676173,9.93313587896509,8.834954935357047,11.089862187720454,10.947505760113328,11.085603179010002,12.36023773874483,12.820281626769633,10.849704295574535,10.481602559094195,11.36030019241625,11.422207307647305,10.87684042471514,10.060466171064995,10.594992792119694,10.756423405335713,10.890193280530982,9.784804273246232,10.895800779179618,11.003836219716518,10.676609805760664,9.429404929157869,11.672178679618748,11.720982899264536,10.86388854837021,3.0,2
2,2,12.68364879786566,12.591055393949082,12.627633919869757,12.312290943469213,10.619530315139126,10.54977359666019,11.380107296805367,11.292612127774198,9.887649717546779,8.96927566631788,11.430952335374448,12.48880857274568,10.809129701855124,10.129288395880897,13.574876603528681,10.442254503100179,10.483900096299807,11.454292736662117,11.419810325067035,11.13572718826224,10.18245811621058,10.788797459463296,11.158226269238632,10.808342858001726,9.635146880540434,11.013928312503385,11.326974392224082,12.081110626988009,8.850915166408377,9.435565561616023,11.824569340816119,10.935218864142227,3.0,2
3,3,12.97451250971489,13.094438420912429,13.126263391415078,12.581124227750392,9.737650089010147,10.308596935042104,11.279280225246866,10.855170365761833,7.482190179545907,9.023680846338797,11.357318451463769,10.655271513959113,9.787369090576282,10.337576996151356,13.328084272606215,9.665749728666093,13.162387590196474,13.872674880270605,13.872674880270605,13.383342991147613,10.178127984122296,10.896476220407944,11.623354492332581,12.34370940384212,9.5783408419818,11.340510701953194,11.698912719525435,10.512325784084599,10.397780260387954,11.702578306656035,13.872674880270605,11.251721322186267,3.0,2
4,4,12.812012783644118,12.639656203568885,12.745939027009658,12.289170004442367,10.162788370124511,10.46089172806821,12.092212021092944,11.080689606131415,8.885197600700446,8.716822027378024,10.808090625969909,11.323934289633394,9.880020511228915,10.451065978162019,12.674659585235489,11.048609665581694,11.1585130933179,12.105918052699687,12.172119937624677,11.69338590726964,10.989788532402184,11.383427785878506,11.734752727988914,10.777660219727505,11.073817957697141,11.557668972382464,11.691514943764313,11.813871752992306,10.897804665911961,10.427301946433145,12.075770376340168,11.559877957603463,3.0,2
5,5,13.482314980895614,13.349398238337296,13.51427813587996,13.050046821544552,10.733053868522504,10.91834844814552,11.363433342025823,11.682777351370635,10.319814051043618,9.121512817470547,11.367413648584538,10.688299409728547,10.0662530689009,9.887574129660427,13.393169291080172,11.508034814159524,11.083184651548274,11.874961434493814,11.983014736452676,11.578061264931453,10.525902726881574,10.869537002366052,11.27843251271646,11.181609394748275,10.282985756601713,11.323296981859652,11.428461298413007,11.109390062902834,9.730320285266858,9.273850157300194,11.957693683270547,11.788967206138935,3.0,2
6,6,12.493498932087181,12.332806575475633,12.413641493251749,12.019090897235401,10.546244132929367,10.970719614049656,11.878409491570325,11.461774931015125,9.972698679460953,13.872674880270605,11.11356553950075,10.672377498985687,10.868136630278297,7.242572229285339,12.369411477025613,11.118015588968476,10.486462391847413,11.535782661416846,11.582682154081544,11.225919943564877,10.819983878816723,10.916487675542117,11.238288179379518,10.901825147221059,10.445834633587552,13.371567235687209,11.262054853431911,10.911066182687984,10.411399234087336,8.397832627167743,11.235972807224902,11.102977140829983,3.0,2
7,7,12.596654391437788,12.264443673579983,12.439506380517154,11.956104140504566,10.138824392160279,10.250518281906992,10.946399649727613,10.75465765406839,9.396831060650582,8.581781394709475,10.655745462437373,10.428247297256712,9.89436471382166,9.668110948125769,13.232234869734327,10.140061192440767,9.258193219815869,10.520134809384636,10.670978369480515,10.166294966616038,12.32852779035376,10.652014796243588,10.427412783665833,9.58543385291266,11.751666852864881,10.319714586791493,10.790490488315132,9.889018165703376,11.189627374188136,8.917804155241075,11.246738021587856,10.304351674028263,3.0,2
8,8,12.563372512495706,12.427200490959306,12.500647392103286,11.948337436757786,10.510371366202273,10.50330641977361,10.897834280132288,11.140284465299349,9.75033654853635,8.831051592886668,10.782280509989995,10.555987021294591,10.197371168485251,9.773658402018192,13.309147274981045,10.905819282439673,10.204765172216053,11.36788778236428,11.432535545679462,11.1308921572411,10.895711975679436,11.014506371653592,11.215342415345022,11.415478519042413,10.631694392543537,11.13014730317408,11.317334894614985,11.606472803693787,10.118110031709314,9.333440873939919,11.846428264090767,11.902611437467565,3.0,2
9,9,12.182374027541574,12.088014181284287,12.171283913453019,11.694654668570335,10.717106293174297,10.68505080031608,11.50215890953197,11.446037414811686,10.112368571903957,11.453866776924608,11.071820747427592,11.057256824562698,11.194821873555474,11.618533754580147,12.318395337375033,11.210855908415803,9.466864780167548,10.627386838171274,10.686901386227584,10.265948556813665,10.510615029392769,10.377232321393585,10.695720844361322,10.676543363485273,10.212425155795357,11.197499102268818,11.014663811187791,11.56929072442093,9.482742279209047,10.195688717790127,10.686265071029242,11.073461596845002,3.0,2
