,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,EGFR_Nuc,STAT3_Nuc,p-PKM2_Nuc,HCN4_Nuc,LC3_Nuc,B-actin_Nuc,PDGFRa_Nuc,Flt1_Nuc,Mlc2a_Nuc,B-catenin_Nuc,HIF1a_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,EGFR_Cyto,STAT3_Cyto,p-PKM2_Cyto,HCN4_Cyto,LC3_Cyto,B-actin_Cyto,PDGFRa_Cyto,Flt1_Cyto,Mlc2a_Cyto,B-catenin_Cyto,HIF1a_Cyto,Dose,Drug
2446,2446,12.030030740435395,12.00081337156137,11.994854456482573,12.060484100708013,10.790689975742033,11.328381941082414,13.603983667568723,13.408863238126411,10.540486401861404,11.766750786457337,10.05358159090503,11.560156265210855,11.281979043647736,13.011809606178467,12.791810165009444,13.059890900588732,12.95479830045782,13.110652527380976,12.488377386560519,12.781765819906079,12.242233178487115,13.584139289260323,13.300469837395475,13.55270939952085,12.262045577782626,13.402156086951175,8.573592990255882,12.649110502445488,13.337358807322587,13.857984616092693,12.556371947565214,13.843966379656568,3,6
2448,2448,12.560258114508743,12.593341788208274,12.613644797639534,12.714372246929464,12.99037362905163,11.966609444600765,12.727827298406195,12.767349129247409,12.33342298866505,11.673921622296328,10.221613194595935,11.781242876938714,12.379499495241449,11.888982271819446,12.51108106339533,12.631837029744027,12.156946346752838,12.35139592689074,11.790263231566474,11.977815912537205,13.872674880270605,13.872674880270605,12.326322251219821,13.318885495288123,13.554890791876366,12.905702112761563,8.689042687555599,12.193252312012332,13.872674880270605,11.94948705390243,11.985875996335535,12.473961963045607,3,6
2449,2449,11.498637477890744,11.383148376983886,11.567727238343865,11.73701714238216,8.945416466064591,9.441772590676301,12.37226599322966,13.343432380667991,8.825323331864197,10.393454805963474,8.268385110659981,10.341398716563695,8.430189087662653,9.702770769933581,9.67390287032336,8.873237193730432,10.901600884711499,11.018491140229852,10.869425495225354,11.019013546025535,9.843046917489737,10.909192317898416,11.179466852185886,11.838566051743452,10.689444533176076,11.150182699879062,6.559804559314832,11.18307947441279,10.13133979385085,10.333500269050669,9.278851020352064,10.354292501169503,3,6
2451,2451,11.356520515660787,11.270270481022358,11.321055987919662,11.496364716062985,9.865199310039849,10.170448035593393,13.15012245474442,12.967531276461914,9.131764515749776,10.956034687822546,8.921644841812249,10.746033999989843,9.84985000613411,9.932981156258382,9.890349176081024,10.133183363605248,11.349395139090946,11.226325050306666,11.070745465419025,11.396489887399877,10.859733910560317,10.818752098017855,12.06977585167506,12.147365699468287,11.45552214417818,11.070431360075943,6.860239958862525,10.395135085809796,10.998936925531103,9.099052327362603,9.14510860597525,9.077874180397066,3,6
2452,2452,11.661891013258145,11.518365624287483,11.781417913760633,11.892693861511107,9.274808653567362,9.921090035629458,12.087402047861342,13.62864538718838,9.954424439708882,10.698234337245589,8.843337570698386,10.015890928327524,8.946264032091323,10.83630028903116,9.827445627188366,10.708831833186599,10.617022642692405,10.822581909896414,10.461234944488382,10.75403722945663,10.55102219675794,11.618576894015286,10.41369053505478,11.821068602197528,10.997211072653203,11.423249661341142,7.034437279008262,10.169662915567082,11.26235386257174,10.999759947025263,10.784664603993852,11.548960215292439,3,6
2453,2453,11.372191276490552,11.310171842435516,11.500192260184699,11.611422185815675,8.714337935457765,9.2542592047879,12.284977625526931,13.213323565518673,7.529033884424223,10.141798817696637,8.068103510971898,10.230175389642156,7.207656569187762,9.409244801209852,8.173111478997281,8.464402480734517,9.714060112231454,9.704085605341538,9.942256253877424,9.959760162760988,10.175370992992102,9.331460156737627,10.967364024568152,10.696045219719414,8.393519880310423,9.763001502731484,6.789288561517442,10.354579632186077,9.730399027411137,9.809616535459687,10.075805997027034,10.0266694294591,3,6
2454,2454,11.379830524292805,11.247984781738571,11.399532999888056,11.58483615914212,9.324623401412534,10.056770792123613,12.653683976512227,13.34074443765484,10.881472713732554,10.668259597174119,9.25585186523294,11.026838239223522,10.14815724303574,11.167039772477816,11.309878590291545,11.360958545438216,9.957519690073497,9.928743122272012,10.023089384012094,10.13333730231135,9.796617174343178,10.29014895173607,11.462564749782565,11.292045800654206,10.19914635669274,10.749042062684778,6.849338742535341,10.453741732873672,11.446621002668078,10.994034593433993,11.182964695156839,11.158647323159421,3,6
2455,2455,12.647471747695317,12.522997210356305,12.725173111291616,12.675823818966407,13.872674880270605,12.769825177377605,12.34579132528519,11.285751442857626,13.872674880270608,11.853949132007534,10.634180659857034,12.156341761614172,13.872674880270605,11.384227737803881,11.86179685194684,12.209553635535636,10.30021991890134,10.472055107768078,10.538693016730566,10.374258793320768,13.295930790504324,12.919841839844105,11.087204793516138,9.899514293798989,13.315939287454546,11.25372333335662,7.992400203762998,11.08269579776845,13.625955496615964,10.364819981639537,10.839671632503377,11.051759823346078,3,6
2456,2456,12.278602609556721,12.343491294906304,12.376781241441126,12.493552319853995,10.327772089678316,12.182121866658822,13.493858266784859,13.210232786041322,11.107167774895427,12.36525818399633,10.648955468168948,12.477047604168124,11.242640664062817,11.314637349137524,11.216137111083016,11.813665465311846,10.264138570990598,10.485341462855763,10.409749145429439,10.336275511893227,10.800908032033298,12.039249716312895,12.201537805910172,10.748562499006376,11.050553393686183,11.912818485097803,8.113199067302494,11.591618801595152,11.512524304673065,11.098182274506877,10.723006666282108,11.51913628010516,3,6
2458,2458,11.768533053700276,11.740712414393279,11.903140544254185,12.028544181400054,10.55139291889088,10.542763528269358,13.200538019766068,13.481447450725947,10.866177603506978,11.477136722678726,9.218986422674876,11.047404058805883,10.716139471731028,10.97873387216359,11.09637835110964,10.853823064325876,10.126188036908118,10.119694326445195,10.178789721696141,10.158891188507472,11.700214916529578,11.60087124817416,12.044272161549973,10.974643924999091,12.012704047634985,11.583676075731955,7.650719870164746,10.7611561934958,11.936400151700358,11.033376140147547,11.044628248670435,11.151256350604838,3,6
2459,2459,12.568603645397856,12.483222952931964,12.69028741870864,12.688140433239761,9.295805000101748,11.144166357513775,12.068997778659242,12.06361434487931,9.590580416199202,11.562392801447984,9.773561890945569,11.647405505412685,10.134829484741964,11.41533497634591,11.078594934258511,11.767146250038286,11.608301656509646,11.676751854753663,11.681425608587912,11.592576855796889,10.224003696055703,12.671129460019474,12.116746590584144,11.521208110641851,10.10539121234499,12.190240975530262,8.659567734831686,12.34699366834692,11.175368949242227,10.695969688665226,10.473290974185751,11.460691531686651,3,6
