,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,EGFR_Nuc,STAT3_Nuc,p-PKM2_Nuc,HCN4_Nuc,LC3_Nuc,B-actin_Nuc,PDGFRa_Nuc,Flt1_Nuc,Mlc2a_Nuc,B-catenin_Nuc,HIF1a_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,EGFR_Cyto,STAT3_Cyto,p-PKM2_Cyto,HCN4_Cyto,LC3_Cyto,B-actin_Cyto,PDGFRa_Cyto,Flt1_Cyto,Mlc2a_Cyto,B-catenin_Cyto,HIF1a_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,MLC2v_NC_Ratio,EGFR_NC_Ratio,STAT3_NC_Ratio,p-PKM2_NC_Ratio,HCN4_NC_Ratio,LC3_NC_Ratio,B-actin_NC_Ratio,PDGFRa_NC_Ratio,Flt1_NC_Ratio,Mlc2a_NC_Ratio,B-catenin_NC_Ratio,HIF1a_NC_Ratio
0,0,13.642107243297556,11.745050067574086,10.612661714957847,13.81166278409438,11.026879309111052,7.3310946688571645,6.900947110701003,12.838313285911925,7.066791744904385,5.2393731775977415,3.2197909466547205,7.87886773417681,11.12670428661263,10.022374856499146,10.087176108696626,11.07905787514277,11.200931554499283,9.51151676643988,9.112490796548512,11.377667549779847,10.720302158252922,7.342924498304567,8.308021474255039,11.25890425729291,6.822147169922865,5.1874632634890085,4.217776341720536,7.098080844807968,9.888065466883099,10.620845358446406,11.716760368200926,10.315934237712511,3,2,1.2179439876871385,1.2348240933575316,1.1646279762474543,1.2139274349215476,1.0285978087494592,0.9983889485108918,0.8306366482183166,1.1402808828040223,1.0358603484926412,1.0100068012961347,0.7633858900496577,1.109999717732148,1.1252660415607032,0.9436513307793041,0.8609185296707986,1.07397523286262
1,1,13.410790183842847,13.345859327820818,13.15375014592749,13.44877836766922,11.573201506922992,8.9105025470691,9.968002555350397,12.526094083840661,7.493425171609102,6.953967077063543,5.787054180225718,8.131307052946397,10.48066609279114,11.726883417681698,12.611633834364385,10.740350413932944,9.131015879499518,8.492074987779949,8.185999775800457,9.270137747731892,9.358257924901526,6.220286396829095,7.35884054766468,9.562947891893863,5.763262467000311,4.033855091785255,3.5073075363702815,5.550909306346915,11.37652987726444,11.679626902825152,11.840391901580976,11.542042554017543,3,2,1.4687073553285628,1.5715663541626093,1.6068593337630854,1.450763595283113,1.2366833228786833,1.432490721265084,1.3545615631682266,1.3098569840016112,1.3002054330364923,1.7239010620944095,1.6499990719989015,1.4648603686695174,0.921253335231541,1.0040460637355733,1.0651365207498267,0.9305415712745274
2,2,12.767873268752394,12.572306484098515,12.597962981407495,12.813950809344561,12.321550876403297,8.460118111983006,10.199451754748463,12.322818265416393,7.310412120899834,5.953155291624155,5.430058827326556,5.389835503701898,9.864825234412443,9.900389317076744,11.625501763555338,8.095252607645625,10.23312130309794,9.826766395340288,9.063977072686557,10.462666526852935,12.860463428887224,7.309198465299289,7.958257928381815,10.745383621156238,8.085439433314546,4.3923395884770935,3.326284292812137,4.607715751472048,9.389195149246367,8.684398025151811,9.574680872385557,7.849803673483445,3,2,1.2477007640754822,1.2793940527639003,1.3898935180860368,1.2247308825581837,0.9580954018131711,1.1574618136513537,1.2816186465097845,1.14680114734614,0.9041453072765152,1.3553495060449607,1.632469852038963,1.1697413196506279,1.0506571732300454,1.1400202165312059,1.2141920883321111,1.0312681621568835
3,3,14.314852289274265,14.304989712700515,14.3194480277625,14.478712654993224,11.539000406121518,8.574929595328555,11.243696784589114,13.45145198828765,7.341854966101455,6.48186903291114,5.302115168573427,6.17955743345818,9.654950514240536,10.777751162754278,10.752560491238752,10.209785501838468,10.679342505054061,10.638841406272467,10.53000213378184,10.991685111986532,10.534788558179258,7.6156308718195085,9.440614385198026,11.449598452372546,6.581386107923832,5.444085096721009,4.998456309403547,5.065083790696875,8.854236685923198,10.239686105530268,11.269978510160069,9.404988228331296,3,2,1.340424495468675,1.34460033441861,1.3598713320127014,1.3172423070238846,1.0953233985092738,1.1259644459737126,1.1909920610906581,1.1748405015461731,1.1155484339783739,1.1906259578519798,1.0607505278376865,1.2200306428905043,1.090432846638304,1.052547026508304,0.9540888193837409,1.0855713217250846
4,4,13.457773484684598,13.287491381208484,13.336804627812365,13.484947199440255,10.850399933219402,7.569438150459117,10.025491096902693,13.259819673135793,6.409933943495727,5.569237123715666,4.8566433172878,7.520210609826383,7.932040203395945,9.611153055456668,10.218983763961473,8.430649093523707,10.20641082299086,10.304996083334812,10.170824250439868,10.47793288665856,9.709176363849526,6.611772627895105,7.9186558180650835,10.611379204461306,6.13186730666815,4.808253948862508,3.8043544591409506,7.016192906528528,7.703590282386239,9.243482924651406,9.562339002495984,8.386135390682501,3,2,1.318560825943803,1.2894222640896438,1.3112806100484506,1.2869854526946334,1.1175407188625215,1.1448424766640668,1.2660597110473242,1.2495849425078516,1.0453477909616848,1.1582660115182113,1.2766011604461438,1.07183635199495,1.0296549936634145,1.039776146480968,1.0686698893747744,1.00530801146982
5,5,13.253916503714914,13.048362761049928,13.098448315570366,13.294145704841693,12.26737823465736,8.222087680646762,10.179148272188886,12.436804290913265,7.1981985423455965,5.657734974663017,5.224721123436924,5.376609090736985,9.288435011863044,9.502245767036102,10.845086425981748,7.9499811089829215,10.12703536768058,10.182558394189863,10.094414247667839,10.396902049435056,12.805195614668687,7.6887438008848585,8.717046230058276,10.314225114727071,7.983039842863324,4.850209164572705,4.29401752860752,4.436987450158306,9.144571943171016,9.111325667022252,9.914361223866461,7.835898105947031,3,2,1.308765697216133,1.281442468181207,1.2975936982769023,1.2786641291445144,0.9580000652707528,1.0693668424353695,1.1677290682581174,1.2057914339251226,0.9016864106948734,1.1664929867331717,1.2167442467639895,1.211770182163836,1.0157320724891297,1.0429048542769968,1.0938764667838397,1.0145590207393467
6,6,14.267983305461582,14.484747138230164,14.465801658605676,14.567430923236802,11.517983415768526,9.784294279893656,8.236697414145073,13.088083657219432,7.97524396181913,6.59085119225461,7.734760050434088,6.4121078329656145,9.748104288801553,10.593279928643547,11.562666722769642,10.324038766059033,10.197363269749706,9.62952333527362,9.427736947296378,10.148243681925743,10.925572706183626,8.257187251308974,9.142960016591907,11.365691089307578,7.0995070022254145,5.4772756615390135,5.803192684433073,5.27684744859953,8.90112751976855,10.423792046150936,10.955536061627514,9.760648403279491,3,2,1.3991835857988209,1.50420188351084,1.5343874929342487,1.4354632564826695,1.0542223941496092,1.1849427634504228,0.9008786431525215,1.1515431445723716,1.1233517988388781,1.203308286733683,1.3328456370546506,1.215139890895914,1.0951538742874931,1.0162597144822354,1.0554177045949074,1.057720587762412
7,7,13.589152290779953,13.39420311358533,13.434253594129693,13.679181221877991,11.92922194684126,8.023684024186199,10.545163794860263,12.806065638329553,7.279403296253237,5.592117587553956,5.202725496206805,5.43901489699169,9.083457882510032,10.122324769042068,11.054704953948312,8.775869329423191,9.461105526699557,9.365908860113297,9.262763980006117,9.699169098713275,11.380385154152828,6.840091054692563,8.091244642852434,9.952590867511313,6.866457484748834,4.401675598791607,3.7012596370228943,4.44258497359125,8.488328771284259,9.641054571279918,10.836984220865991,8.917156877353644,3,2,1.436317590204539,1.4301017993702005,1.4503504162610459,1.4103456783419435,1.0482265569446176,1.1730376043286217,1.3032808004607237,1.2867067288109837,1.060139571594465,1.2704520044796488,1.4056634784993396,1.224290571665747,1.0701114585993743,1.049918833484858,1.0200905278299761,0.9841555386011799
8,8,13.434281064497176,13.361293283473644,13.457905807196198,13.46549693096342,13.718653276764652,9.097847674737416,11.148819390742249,13.099330622495387,8.836690388958461,6.403182199585823,5.872963720428427,5.867991148934716,10.04160692300543,10.253298822076273,12.770469006597938,9.206218263838172,9.174918834401305,9.032837822677449,8.966546472206836,9.249741079791972,12.970202476639647,8.088883506503116,8.838580424784777,9.552368515744014,8.34124628354802,5.121620093482188,4.79304795721804,5.027861397710955,9.759415414465767,9.760097641716916,11.954172421124804,10.163958952966905,3,2,1.464239772250128,1.4791910965045076,1.500901807503146,1.455770146948401,1.0577054060237705,1.1247346642368055,1.2613812235592943,1.3713175534324649,1.0593968920912498,1.2502259212342908,1.225308774885947,1.1670948510247812,1.028914796281895,1.0505324022836924,1.0682854953665062,0.9057709015197112
9,9,13.456895175476069,13.406577787660813,13.484325879734405,13.573586225893695,11.903842315709245,8.737503364343747,10.442917538270603,13.014305153367259,7.622303350261157,6.5096398266079545,5.8009176351350025,7.4482580404338,11.711722285303646,12.34689942404512,12.689132233334375,11.814408883812026,9.277714854479074,9.231957268960217,9.15184382084073,9.447976678799511,10.705319118100524,6.784408302635678,8.065113115583427,9.730059876448207,6.47736080258435,4.658482345824245,3.907931240704609,6.0417118067692765,11.592575016848473,11.733131834927047,12.075438171820851,11.710907639188992,3,2,1.4504536285655922,1.4521923571653164,1.4733999119420804,1.4366659325431776,1.1119558589881045,1.2878799409742643,1.2948259235314106,1.3375359780538072,1.1767606564729256,1.3973735099464408,1.4843960340737938,1.2328059130673192,1.0102778949700137,1.0523106360478296,1.0508216805702038,1.0088380207420202
